age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,Year
64,M,Black,Cleveland,OH,False,attack,Not fleeing,True,Letal,2015
31,M,Black,Baton Rouge,LA,False,attack,Not fleeing,False,Letal,2015
23,M,White,Port Wentworth,GA,False,attack,Not fleeing,True,No Letal,2015
37,M,Hispanic,Ontario,CA,True,other,Car,False,No Letal,2015
37,M,Black,Elkton,MD,False,other,Not fleeing,False,No Letal,2015
31,M,White,Memphis,TN,True,attack,Not fleeing,False,Letal,2015
39,M,Hispanic,Santa Ana,CA,False,attack,Not fleeing,False,Letal,2015
31,M,White,Kingman,AZ,True,attack,Not fleeing,False,No Letal,2015
54,M,White,Bay Minette,AL,False,attack,Not fleeing,False,Letal,2015
53,M,White,Hoover,AL,True,attack,Not fleeing,False,Letal,2015
25,M,Hispanic,Los Angeles,CA,False,other,Not fleeing,False,No Letal,2015
35,M,Black,Washington,DC,True,other,Not fleeing,False,Unarmed,2015
41,M,Hispanic,Napa,CA,False,other,Other,False,Letal,2015
59,M,White,Kansas City,MO,False,attack,Not fleeing,False,Letal,2015
36,M,White,Fontana,CA,False,attack,Not fleeing,False,No Letal,2015
32,M,Hispanic,Walnut Creek,CA,False,other,Foot,False,Unarmed,2015
53,M,White,Follansbee,WV,False,other,Not fleeing,False,No Letal,2015
26,M,White,Kenosha,WI,False,attack,Car,False,Letal,2015
29,M,Hispanic,San Antonio,TX,True,attack,Not fleeing,False,Letal,2015
27,M,White,Ruth,MS,False,other,Not fleeing,False,No Letal,2015
28,M,White,St. Paul,MN,True,attack,Not fleeing,False,Letal,2015
52,M,White,Gastonia,NC,True,attack,Not fleeing,False,Letal,2015
49,M,White,Medford,OR,True,attack,Not fleeing,False,Letal,2015
24,M,White,Dublin,NC,False,attack,Foot,False,Letal,2015
24,F,White,San Francisco,CA,True,other,Not fleeing,False,No Letal,2015
20,M,White,Onalaska,TX,True,attack,Not fleeing,False,Letal,2015
22,M,Hispanic,Sacramento,CA,False,undetermined,Car,False,Unarmed,2015
49,F,White,Glendale,AZ,False,attack,Not fleeing,False,Letal,2015
64,M,White,Tallahassee,FL,False,attack,Not fleeing,False,Letal,2015
47,M,White,Bakersfield,CA,False,other,Not fleeing,False,No Letal,2015
39,M,White,Lawrence County,AL,True,other,Not fleeing,True,No Letal,2015
18,M,Black,Cleveland,OH,False,attack,Not fleeing,False,Unarmed,2015
31,M,White,Middleton,ID,False,attack,Not fleeing,True,Letal,2015
16,M,Black,Jacksonville,FL,False,attack,Car,False,Letal,2015
20,M,White,Sumas,WA,True,attack,Not fleeing,False,Unarmed,2015
36,M,White,Bakersfield,CA,False,attack,Not fleeing,False,Letal,2015
63,M,Black,New Orleans,LA,True,attack,Not fleeing,False,No Letal,2015
34,M,White,Coal County,OK,False,attack,Not fleeing,False,Letal,2015
24,M,Native,Red Valley,AZ,False,attack,Car,False,Letal,2015
21,M,White,Cottonwood,AZ,False,attack,Not fleeing,False,Letal,2015
44,M,White,Clarendon,NY,False,attack,Car,False,Letal,2015
60,M,White,Harmony,IN,True,attack,Not fleeing,False,Letal,2015
42,M,White,Columbus,OH,False,attack,Not fleeing,False,Letal,2015
37,M,White,Vallejo,CA,True,other,Not fleeing,False,No Letal,2015
36,M,White,Portland,OR,True,other,Foot,False,No Letal,2015
21,M,Black,Islip,NY,False,attack,Car,False,No Letal,2015
24,M,Black,Santa Clara,CA,False,attack,Not fleeing,False,Letal,2015
29,M,Black,Portsmouth,VA,True,attack,Car,False,Letal,2015
57,M,White,San Jose,CA,True,attack,Not fleeing,False,Letal,2015
38,M,White,Fond du Lac,WI,False,attack,Not fleeing,False,Letal,2015
23,M,Black,Smyrna,GA,False,other,Car,True,No Letal,2015
27,M,Black,Johnsonville,SC,False,attack,Foot,False,Letal,2015
28,M,Hispanic,South Los Angeles,CA,False,attack,Foot,False,Letal,2015
63,M,White,Glendale,AZ,True,other,Not fleeing,False,Letal,2015
53,F,White,Gardner,KS,False,attack,Not fleeing,False,Letal,2015
35,M,Hispanic,Wilmington,CA,True,other,Not fleeing,False,No Letal,2015
26,F,Black,Oxnard,CA,False,other,Not fleeing,False,No Letal,2015
42,M,White,Fort Ashby,WV,False,attack,Car,False,Letal,2015
41,M,Black,Boston,MA,False,attack,Not fleeing,False,Letal,2015
56,M,White,Encinitas,CA,True,attack,Not fleeing,False,Letal,2015
39,M,Black,Fort Pierce,FL,False,other,Not fleeing,False,No Letal,2015
23,M,Hispanic,Bakersfield,CA,False,attack,Car,False,No Letal,2015
40,M,White,Webster,MA,False,attack,Foot,False,Letal,2015
29,M,Black,Elizabethtown,KY,False,attack,Not fleeing,False,Letal,2015
26,M,White,Jasper,OH,False,attack,Car,False,No Letal,2015
49,M,White,Eugene,OR,True,attack,Not fleeing,False,Letal,2015
36,M,White,Carollwood,FL,False,attack,Not fleeing,False,Letal,2015
21,M,Hispanic,Baytown,TX,False,attack,Not fleeing,False,No Letal,2015
27,F,Black,Fort Meade,MD,False,other,Car,False,No Letal,2015
37,M,Black,Hawthorne,CA,False,attack,Not fleeing,False,Letal,2015
36,M,White,Hamilton,NJ,False,attack,Not fleeing,False,No Letal,2015
32,M,Black,Rock Island,IL,False,attack,Foot,False,Letal,2015
44,M,Black,Tulsa,OK,False,other,Not fleeing,False,Unarmed,2015
27,M,White,Pineville,LA,True,attack,Not fleeing,False,Letal,2015
63,M,White,Metropolis,IL,True,attack,Not fleeing,False,Letal,2015
38,M,White,Winchester,VA,False,other,Not fleeing,True,No Letal,2015
17,M,Black,Zion,IL,False,attack,Foot,False,Letal,2015
31,M,Black,Orange,CA,False,attack,Not fleeing,True,Letal,2015
34,M,White,Edgewood,NM,True,attack,Car,False,Letal,2015
50,M,Black,North Charleston,SC,False,other,Foot,False,Unarmed,2015
51,M,White,Phoenix,AZ,True,other,Not fleeing,False,No Letal,2015
56,M,White,Tehachapi,CA,False,attack,Not fleeing,False,Letal,2015
23,M,White,Indianapolis,IN,True,attack,Not fleeing,False,Letal,2015
25,M,Black,Harvey,LA,False,attack,Foot,False,Letal,2015
